a52dec 0.7.4-11
aalib 1.4rc5-14
abseil-cpp 20220623.0-1
accounts-qml-module 0.7-4
accountsservice 22.08.8-2
acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
aha 0.5.1-2
alsa-card-profiles 1:0.3.56-1
alsa-lib 1.2.7.2-1
alsa-plugins 1:1.2.7.1-1
alsa-tools 1.2.5-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.7.2-1
alsa-utils 1.2.7-1
amd-ucode 20220708.be7798e-1
amtk 5.5.1-1
aom 3.4.0-1
apparmor 3.0.6-1
appstream 0.15.4-1
appstream-glib 0.8.0-1
appstream-qt 0.15.4-1
archlinux-appstream-data 20220727-1
archlinux-keyring 20220727-1
argon2 20190702-4
asar 3.1.0-2
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.1-1
atk 2.38.0-1
atkmm 2.28.3-1
attica 5.96.0-1
attr 2.5.1-2
audit 3.0.8-1
autoconf 2.71-1
autokey-common 0.95.10-4
autokey-qt 0.95.10-4
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
babl 0.1.92-1
baloo 5.96.0-1
baloo-widgets 22.04.3-1
bamf 0.5.5-2
base 3-1
bash 5.1.016-1
bash-completion 2.11-2
bashtop 0.9.25-1
bat 0.21.0-2
binutils 2.38-7
bison 3.8.2-4
blas 3.10.1-1
bluedevil 1:5.25.4-1
bluez 5.64-2
bluez-libs 5.64-2
bluez-qt 5.96.0-1
bolt 0.9.2-1
boost-libs 1.79.0-1
bottles 2022.3.28-1
box2d 2.4.1-1
bpytop 1.0.68-1
brave-bin 1:1.36.109-1
breeze 5.25.4-1
breeze-gtk 5.25.4-1
breeze-icons 5.96.0-1
bridge-utils 1.7.1-1
brltty 6.5-1
brotli 1.0.9-8
btrfs-progs 5.18.1-1
bubblewrap 0.6.2-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.81-1
ca-certificates-utils 20210603-1
cabextract 1.9.1-2
cairo 1.17.6-2
cairomm 1.14.3-2
cantarell-fonts 1:0.303.1-1
cava 0.7.4-1
cdparanoia 10.2-8
celt 0.11.3-4
chromaprint 1.5.1-3
chromium 104.0.5112.79-1
cifs-utils 6.15-1
clang 14.0.6-2
clementine 1.4.0rc2-2
clucene 2.3.3.4-12
cmake 3.23.3-1
cmatrix 2.0-2
code 1.70.0-1
code-minimap 0.6.1-1
cointop 1.6.10-1
compiler-rt 14.0.6-1
composer 2.3.10-1
confuse 3.3-3
containerd 1.6.6-1
convertlit 1.8-10
coreutils 9.1-1
cpio 2.13-2
cronie 1.6.1-1
crypto++ 8.6.0-2
cryptsetup 2.5.0-1
curl 7.84.0-2
dav1d 1.0.0-1
db 5.3.28-5
dbus 1.14.0-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-1
debtap 3.4.2-1
desktop-file-utils 0.26-2
device-mapper 2.03.16-1
diffutils 3.8-1
discord 0.0.18-1
discount 2.2.7.b-1
discover 5.25.4-1
djvulibre 3.5.28-3
dkms 3.0.5-2
dmidecode 3.4-1
dmraid 1.0.0.rc16.3-13
dnsmasq 2.86-2
